,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
417,Young Frankenstein,1974,comedi,american grandson infam scientist struggl prove grandfath insan peopl believ invit transylvania discov process reanim dead bodi,8.0,mel brook,gene wilder madelin kahn marti feldman peter boyl
418,Papillon,1973,biographi crime drama,man befriend fellow crimin begin serv sentenc dread prison island inspir man plot escap,8.0,franklin j schaffner,steve mcqueen dustin hoffman victor jori don gordon
419,The Exorcist,1973,horror,yearold girl possess mysteri entiti mother seek help priest save,8.0,william friedkin,ellen burstyn max von sydow linda blair lee j cobb
420,Sleuth,1972,mysteri thriller,man love game theater invit wife lover meet set battl wit potenti deadli result,8.0,joseph l mankiewicz,laurenc olivi michael cain alec cawthorn john matthew
421,The Last Picture Show,1971,drama romanc,group high schooler come age bleak isol atrophi north texa town slowli die cultur econom,8.0,peter bogdanovich,timothi bottom jeff bridg cybil shepherd ben johnson
422,Fiddler on the Roof,1971,drama famili music,prerevolutionari russia jewish peasant contend marri daughter grow antisemit sentiment threaten villag,8.0,norman jewison,topol norma crane leonard frey molli picon
423,Il conformista,1970,drama,weakwil italian man fascist flunki goe abroad arrang assassin old teacher polit dissid,8.0,bernardo bertolucci,jeanloui trintign stefania sandrelli gaston moschin enzo tarascio
424,Butch Cassidy and the Sundance Kid,1969,biographi crime drama,wyom earli s butch cassidi sundanc kid leader band outlaw train robberi goe wrong run poss hard heel solut escap bolivia,8.0,georg roy hill,paul newman robert redford katharin ross strother martin
425,Rosemary's Baby,1968,drama horror,young coupl tri babi fanci apart surround peculiar neighbor,8.0,roman polanski,mia farrow john cassavet ruth gordon sidney blackmer
426,Planet of the Apes,1968,adventur scifi,astronaut crew crashland planet distant futur intellig talk ape domin speci human oppress enslav,8.0,franklin j schaffner,charlton heston roddi mcdowal kim hunter mauric evan
427,The Graduate,1967,comedi drama romanc,disillus colleg graduat find torn older lover daughter,8.0,mike nichol,dustin hoffman ann bancroft katharin ross william daniel
428,Who's Afraid of Virginia Woolf?,1966,drama,bitter age coupl help alcohol use young houseguest fuel anguish emot pain cours distress night,8.0,mike nichol,elizabeth taylor richard burton georg segal sandi denni
429,The Sound of Music,1965,biographi drama famili,woman leav austrian convent gover children naval offic widow,8.0,robert wise,juli andrew christoph plummer eleanor parker richard haydn
430,Doctor Zhivago,1965,drama romanc war,life russian physician poet marri fall love polit activist wife experi hardship world war octob revolut,8.0,david lean,omar sharif juli christi geraldin chaplin rod steiger
431,Per un pugno di dollari,1964,action drama western,wander gunfight play rival famili town torn apart greed pride reveng,8.0,sergio leon,clint eastwood gian maria volontè mariann koch wolfgang lukschi
432,8½,1963,drama,harri movi director retreat memori fantasi,8.0,federico fellini,marcello mastroianni anouk aimé claudia cardinal sandra milo
433,Vivre sa vie: Film en douze tableaux,1962,drama,episod tale life parisian woman slow descent prostitut,8.0,jeanluc godard,anna karina sadi rebbot andré s labarth guylain schlumberg
434,The Hustler,1961,drama sport,upandcom pool player play longtim champion singl highstak match,8.0,robert rossen,paul newman jacki gleason piper lauri georg c scott
435,La dolce vita,1960,comedi drama,seri stori follow week life philand paparazzo journalist live rome,8.0,federico fellini,marcello mastroianni anita ekberg anouk aimé yvonn furneaux
436,Rio Bravo,1959,action drama western,smalltown sheriff american west enlist help crippl drunk young gunfight effort hold jail brother local bad guy,8.0,howard hawk,john wayn dean martin ricki nelson angi dickinson
437,Anatomy of a Murder,1959,crime drama mysteri,murder trial defend say suffer temporari insan victim rape wife truth win case,8.0,otto preming,jame stewart lee remick ben gazzara arthur oconnel
438,Touch of Evil,1958,crime drama filmnoir,stark pervers stori murder kidnap polic corrupt mexican border town,8.0,orson well,charlton heston orson well janet leigh joseph calleia
439,Cat on a Hot Tin Roof,1958,drama,brick alcohol exfootbal player drink day away resist affect wife reunion termin father jog host memori revel father son,8.0,richard brook,elizabeth taylor paul newman burl ive jack carson
440,Sweet Smell of Success,1957,drama filmnoir,power uneth broadway columnist jj hunseck coerc unscrupul press agent sidney falco break sister romanc jazz musician,8.0,alexand mackendrick,burt lancast toni curti susan harrison martin milner
441,The Killing,1956,crime drama filmnoir,crook johnni clay assembl man team plan execut dare racetrack robberi,8.0,stanley kubrick,sterl hayden coleen gray vinc edward jay c flippen
442,The Night of the Hunter,1955,crime drama filmnoir,religi fanat marri gullibl widow young children reluct tell real daddi hid hed stolen robberi,8.0,charl laughton,robert mitchum shelley winter lillian gish jame gleason
443,La Strada,1954,drama,carefre girl sold travel entertain consequ endur physic emot pain way,8.0,federico fellini,anthoni quinn giulietta masina richard basehart aldo silvani
444,Les diaboliques,1955,crime drama horror,wife mistress loath school princip plan murder believ perfect alibi,8.0,henrigeorg clouzot,simon signoret véra clouzot paul meuriss charl vanel
445,Stalag 17,1953,comedi drama war,escap american world war ii prison kill german pow camp barrack black market jj sefton suspect inform,8.0,billi wilder,william holden don taylor otto preming robert strauss
446,Roman Holiday,1953,comedi romanc,bore shelter princess escap guardian fall love american newsman rome,8.0,william wyler,gregori peck audrey hepburn eddi albert hartley power
447,A Streetcar Named Desire,1951,drama,disturb blanch duboi move sister new orlean torment brutish brotherinlaw realiti crumbl,8.0,elia kazan,vivien leigh marlon brando kim hunter karl malden
448,In a Lonely Place,1950,drama filmnoir mysteri,potenti violent screenwrit murder suspect love neighbor clear soon start doubt,8.0,nichola ray,humphrey bogart gloria graham frank lovejoy carl benton reid
449,Kind Hearts and Coronets,1949,comedi crime,distant poor rel duke dascoyn plot inherit titl murder heir stand ahead line success,8.0,robert hamer,denni price alec guin valeri hobson joan greenwood
450,Rope,1948,crime drama mysteri,men attempt prove commit perfect crime host dinner parti strangl classmat death,8.0,alfr hitchcock,jame stewart john dall farley granger dick hogan
451,Out of the Past,1947,crime drama filmnoir,privat eye escap past run ga station small town past catch return big citi world danger corrupt doubl cross duplicit dame,8.0,jacqu tourneur,robert mitchum jane greer kirk dougla rhonda fleme
452,Brief Encounter,1945,drama romanc,meet stranger railway station woman tempt cheat husband,8.0,david lean,celia johnson trevor howard stanley holloway joyc carey
453,Laura,1944,drama filmnoir mysteri,polic detect fall love woman murder investig,8.0,otto preming,gene tierney dana andrew clifton webb vincent price
454,The Best Years of Our Lives,1946,drama romanc war,world war ii veteran return home smalltown america discov famili irrepar chang,8.0,william wyler,myrna loy dana andrew fredric march teresa wright
455,Arsenic and Old Lace,1942,comedi crime thriller,writer book futil marriag risk reput decid marri thing complic learn wed day belov maiden aunt habitu murder,8.0,frank capra,cari grant priscilla lane raymond massey jack carson
456,The Maltese Falcon,1941,filmnoir mysteri,privat detect take case involv eccentr crimin gorgeou liar quest priceless statuett,8.0,john huston,humphrey bogart mari astor gladi georg peter lorr
457,The Grapes of Wrath,1940,drama histori,poor midwest famili forc land travel california suffer misfortun homeless great depress,8.0,john ford,henri fonda jane darwel john carradin charley grapewin
458,The Wizard of Oz,1939,adventur famili fantasi,dorothi gale swept away farm kansa magic land oz tornado embark quest new friend wizard help return home kansa help friend,8.0,victor fleme,georg cukor mervyn leroy norman taurog richard thorp
459,La règle du jeu,1939,comedi drama,bourgeoi life franc onset world war ii rich poor servant meet french chateau,8.0,jean renoir,marcel dalio nora gregor paulett dubost mila paréli
460,The Thin Man,1934,comedi crime mysteri,detect nick charl wealthi wife nora investig murder case fun,8.0,ws van dyke,william powel myrna loy maureen osullivan nat pendleton
461,All Quiet on the Western Front,1930,drama war,german youth eagerli enter world war enthusiasm wane get firsthand view horror,8.0,lewi mileston,lew ayr loui wolheim john wray arnold luci
462,Bronenosets Potemkin,1925,drama histori thriller,midst russian revolut crew battleship potemkin mutini brutal tyrann regim vessel offic result street demonstr odessa bring polic massacr,8.0,sergei m eisenstein,aleksandr antonov vladimir barskiy grigoriy aleksandrov ivan bobrov
463,Knives Out,2019,comedi crime drama,detect investig death patriarch eccentr comb famili,7.9,rian johnson,daniel craig chri evan ana arma jami lee curti
464,Dil Bechara,2020,comedi drama romanc,emot journey hopelessli love youngster young girl kizi suffer cancer boy manni meet support group,7.9,mukesh chhabra,sushant singh rajput sanjana sanghi sahil vaid saswata chatterje
465,Manbiki kazoku,2018,crime drama,famili smalltim crook child outsid cold,7.9,hirokazu koreeda,lili franki sakura andô kirin kiki mayu matsuoka
466,Marriage Story,2019,comedi drama romanc,noah baumbach incis compassion look marriag break famili stay,7.9,noah baumbach,adam driver scarlett johansson julia greer azhi robertson
467,Call Me by Your Name,2017,drama romanc,s itali romanc blossom seventeenyearold student older man hire father research assist,7.9,luca guadagnino,armi hammer timothé chalamet michael stuhlbarg amira casar
468,"I, Daniel Blake",2016,drama,have suffer heartattack yearold carpent fight bureaucrat forc order receiv employ support allow,7.9,ken loach,laura obiol dave john hayley squir sharon perci
469,Isle of Dogs,2018,anim adventur comedi,set japan isl dog follow boy odyssey search lost dog,7.9,we anderson,bryan cranston koyu rankin edward norton bob balaban
470,Hunt for the Wilderpeople,2016,adventur comedi drama,nation manhunt order rebelli kid foster uncl miss wild new zealand bush,7.9,taika waititi,sam neill julian dennison rima te wiata rachel hous
471,Captain Fantastic,2016,comedi drama,forest pacif northwest father devot rais kid rigor physic intellectu educ forc leav paradis enter world challeng idea mean parent,7.9,matt ross,viggo mortensen georg mackay samantha isler annalis basso
472,Sing Street,2016,comedi drama music,boy grow dublin s escap strain famili life start band impress mysteri girl like,7.9,john carney,ferdia walshpeelo aidan gillen maria doyl kennedi jack reynor
473,Thor: Ragnarok,2017,action adventur comedi,imprison planet sakaar thor race time return asgard stop ragnarök destruct world hand power ruthless villain hela,7.9,taika waititi,chri hemsworth tom hiddleston cate blanchett mark ruffalo
474,Nightcrawler,2014,crime drama thriller,loui bloom man desper work muscl world la crime journal blur line observ particip star stori,7.9,dan gilroy,jake gyllenha rene russo paxton riz ahm
475,Jojo Rabbit,2019,comedi drama war,young boy hitler armi find mother hide jewish girl home,7.9,taika waititi,roman griffin davi thomasin mckenzi scarlett johansson taika waititi
476,Arrival,2016,drama scifi,linguist work militari commun alien lifeform mysteri spacecraft appear world,7.9,deni villeneuv,ami adam jeremi renner forest whitak michael stuhlbarg
477,Star Wars: Episode VII - The Force Awakens,2015,action adventur scifi,new threat galaxi rise rey desert scaveng finn exstormtroop join han solo chewbacca search hope restor peac,7.9,jj abram,daisi ridley john boyega oscar isaac domhnal gleeson
478,Before Midnight,2013,drama romanc,meet jess celin year greec decad pass meet train bound vienna,7.9,richard linklat,ethan hawk juli delpi seamu daveyfitzpatrick arian labe
479,X-Men: Days of Future Past,2014,action adventur scifi,xmen send wolverin past desper effort chang histori prevent event result doom human mutant,7.9,bryan singer,patrick stewart ian mckellen hugh jackman jame mcavoy
